Назив на отворениот инвестиционен фонд,Датум на пресметка на документот за удел,Датум на вреднување,Дневна последна продажна цена на документот за удел,Дневна просечна продажна цена на документот за удел,Дневна откупна цена на документот за удел
ВФП Кеш Депозит,2025-10-07,06.10.2025,122.3323,122.3323,122.3323
ВЕГА СВЕТ,2025-10-07,06.10.2025,116.867,116.867,116.867
Граве Глобал,2025-10-07,06.10.2025,176.1755,176.1755,176.1755
НЛБ БРИК,2025-10-07,06.10.2025,170.8604,170.8604,170.8604
ВФП Дивиденда Акции,2025-10-07,06.10.2025,163.1049,163.1049,163.1049
Граве Флекс Бонд Евро,2025-10-07,06.10.2025,117.258,117.258,117.258
Иново Статус Солар,2025-10-07,06.10.2025,67.5193,67.5193,67.5193
ВЕГА КЕШ,2025-10-07,06.10.2025,109.7976,109.7976,109.7976
ВФП Етикс Акции,2025-10-07,06.10.2025,104.0514,104.0514,104.0514
ВЕГА ФИНАНСИИ,2025-10-07,06.10.2025,170.0283,170.0283,170.0283
Иново Статус Балансиран,2025-10-07,06.10.2025,45.1642,45.1642,45.1642
НЛБ Америка,2025-10-07,06.10.2025,184.2874,184.2874,184.2874
КБ Инвест - Златен фонд,2025-10-07,06.10.2025,191.5111,191.5111,191.5111
КБ Инвест - Балансиран,2025-10-07,06.10.2025,248.5794,248.5794,248.5794
КБ Инвест - Акции,2025-10-07,06.10.2025,141.351,141.351,141.351
КБ Инвест - МБИ 10,2025-10-07,06.10.2025,435.9784,435.9784,435.9784
НЛБ Топ Брендови,2025-10-07,06.10.2025,188.8731,188.8731,188.8731
НЛБ Обврзници,2025-10-07,06.10.2025,104.1332,104.1332,104.1332
ВФП БОНД,2025-10-07,06.10.2025,129.7898,129.7898,129.7898
НЛБ Кеш Депозит,2025-10-07,06.10.2025,134.2154,134.2154,134.2154
КБ Инвест Паричен,2025-10-07,06.10.2025,143.1691,143.1691,143.1691
КБ Инвест - Обврзници,2025-10-07,06.10.2025,157.4467,157.4467,157.4467
Граве Флекс Бонд Евро,2025-10-06,05.10.2025,117.2207,117.2207,117.2207
НЛБ Обврзници,2025-10-06,03.10.2025,104.1411,104.1411,104.1411
КБ Инвест - Обврзници,2025-10-06,03.10.2025,157.5181,157.5181,157.5181
НЛБ БРИК,2025-10-06,03.10.2025,170.991,170.991,170.991
Иново Статус Балансиран,2025-10-06,05.10.2025,45.0895,45.0895,45.0895
КБ Инвест - Балансиран,2025-10-06,03.10.2025,248.8464,248.8464,248.8464
ВЕГА СВЕТ,2025-10-06,03.10.2025,114.7313,114.7313,114.7313
НЛБ Кеш Депозит,2025-10-06,04.10.2025,134.1999,134.1999,134.1999
КБ Инвест Паричен,2025-10-06,04.10.2025,143.1495,143.1495,143.1495
ВФП Премиум Акции,2025-10-06,04.10.2025,196.4029,196.4029,196.4029
ВЕГА КЕШ,2025-10-06,03.10.2025,109.7729,109.7729,109.7729
НЛБ Топ Брендови,2025-10-06,05.10.2025,188.2774,188.2774,188.2774
НЛБ Америка,2025-10-06,04.10.2025,183.4335,183.4335,183.4335
ВФП БОНД,2025-10-06,04.10.2025,129.8623,129.8623,129.8623
Иново Статус Солар,2025-10-06,03.10.2025,66.6326,66.6326,66.6326
КБ Инвест - МБИ 10,2025-10-06,05.10.2025,433.7714,433.7714,433.7714
ВФП Етикс Акции,2025-10-06,05.10.2025,102.4934,102.4934,102.4934
ВФП Кеш Депозит,2025-10-06,04.10.2025,122.3159,122.3159,122.3159
Граве Глобал,2025-10-06,04.10.2025,175.6281,175.6281,175.6281
КБ Инвест - Акции,2025-10-06,03.10.2025,140.9935,140.9935,140.9935
КБ Инвест - Златен фонд,2025-10-06,03.10.2025,188.7109,188.7109,188.7109
ВЕГА ФИНАНСИИ,2025-10-06,03.10.2025,171.1983,171.1983,171.1983
ВЕГА ТЕХНОЛОГИЈА,2025-10-06,03.10.2025,189.7898,189.7898,189.7898
ВФП Дивиденда Акции,2025-10-06,03.10.2025,162.0346,162.0346,162.0346
ВФП Етикс Акции,2025-09-30,29.9.2025,100.6615,100.6615,100.6615
ВЕГА СВЕТ,2025-09-30,29.9.2025,111.0716,111.0716,111.0716
ВЕГА ФИНАНСИИ,2025-09-30,29.9.2025,172.387,172.387,172.387
ВЕГА ТЕХНОЛОГИЈА,2025-09-30,29.9.2025,185.934,185.934,185.934
КБ Инвест - Балансиран,2025-09-30,29.9.2025,247.6963,247.6963,247.6963
НЛБ Топ Брендови,2025-09-30,29.9.2025,186.6621,186.6621,186.6621
НЛБ Кеш Депозит,2025-09-30,29.9.2025,134.1638,134.1638,134.1638
ВЕГА КЕШ,2025-09-30,29.9.2025,109.74,109.74,109.74
